Date,AAPL,MSFT,GOOGL,META,NVDA,ADBE,CRM,INTC,AMD,CSCO,AVGO,TXN,QCOM,AMAT,MU,AMGN,GILD,REGN,VRTX,BIIB,ILMN,DXCM,AMZN,TSLA,COST,PEP,SBUX,MDLZ,KHC,MNST,PYPL,ISRG,MELI,FTNT,NFLX,HON,CSX,ODFL,FAST,PAYX,CMCSA,TMUS,CHTR,XEL,AEP,EXC,FANG,MTDR,RRC,IDXX
2018-02-06,272975200,67998600,76630000,37758500,1114800000,4480000,6857900,58145400,87123200,55171600,77744000,9266900,24458700,21455700,66972800,7527700,13287400,2005600,3114600,1768200,1808560,4747200,221336000,76326000,4067900,6642600,17415100,12196800,7556400,6897200,19739600,4715700,1057000,33522000,125958000,5888336,31691100,4912800,22496000,3489400,51958952,5740600,4492100,6022700,7872400,17627346,1695700,2170200,13161600,1381600
2018-02-07,206434400,41107600,51942000,27601900,802932000,2988000,4515400,37508400,55758400,32690800,40475000,10009100,15021200,14763400,51354800,5715700,20315600,1022600,1812900,1237300,1147248,2548400,143254000,104538000,2594800,4931400,13927000,8322200,6753700,5862200,11988000,2311800,726500,12831000,89815000,3511282,19488600,1782600,10938400,2691300,35280995,7319300,1555000,3961100,5927700,11991867,1224800,1668500,10740200,681500
2018-02-08,217562000,55628700,66792000,38478300,1144000000,3978700,6803800,43151300,56471800,42982100,43200000,11506600,13451600,19922900,53794100,6026800,13853700,1634600,2854000,1414600,1336297,3780000,171572000,154719000,3013200,4907900,17736700,13672600,8210800,5910200,13665400,3880200,1017400,18568500,93067000,3722386,23394300,3500700,11302000,3128600,36409134,8031400,1769900,5260900,4464700,15882697,2817700,1480700,10770400,828700
2018-02-09,282690400,63499100,98360000,39887600,1674604000,3818800,6615800,49301100,85458200,51304200,43282000,11599300,23095000,22648200,65189300,6093900,13746400,2088300,2719800,2180400,1848652,4419600,282830000,194005500,2777200,5301700,19382000,13993500,6871000,5359600,14339400,3903600,1575400,21310500,169069000,5984312,36834600,4769400,14803600,3338800,39880192,5150900,1908200,5456100,4761500,15179174,1811700,1230400,12940100,726200
2018-02-12,243278000,35720300,56240000,32092100,1093172000,2824700,4624100,28379500,63160900,38210700,35063000,6673700,13692100,16326100,47941100,4324800,10030700,1398200,2242200,1331000,1028206,2778800,134778000,93417000,1596200,4759200,10969000,15788600,4372900,4103000,10419600,2535600,1121100,13406000,85349000,3825337,33434100,1754700,13712000,2113000,32738228,4816100,855100,4518300,3538200,10403821,1709900,1309600,8504700,421300
2018-02-13,130196800,26407700,31586000,21809400,625524000,1961300,7542800,19517600,33661400,30999100,23719000,5061400,7695900,12878600,30296800,3834700,6596800,1557300,1624500,732900,681564,2291600,118358000,68403000,2123900,5274700,10416400,9240100,4043600,4036600,7743600,1436100,542600,12592000,68552000,3116527,22472400,2024700,7735200,1561900,19348231,5378600,772400,3409900,3859200,10386857,1649400,1161100,5099600,1205000
2018-02-14,162579600,34960900,41304000,28929700,744988000,2542400,7428000,19922000,51756800,43835900,25491000,7413500,10370900,22166600,36765900,5958700,7063300,1981400,1992100,5426400,840801,3689200,119184000,59260500,2191000,7702700,14190300,10233100,5503100,3467400,8955800,1522800,435900,7830000,109720000,3277042,28346100,1809600,10199600,1469700,23455328,6498600,915500,4261400,5756000,10743246,2901600,969200,9274100,1004000
2018-02-15,204588800,27823900,37396000,20922100,698900000,2233300,8341900,23536800,59593800,72267500,25540000,5264800,15548400,26888200,35072300,4493400,7159700,834400,1244700,3040900,827437,3129200,113054000,88693500,2072900,5125200,10294900,8637800,7410900,3423000,9311000,1564200,536900,8677500,107597000,4024264,16868700,1807800,9964800,2146000,23140776,6213400,1096700,3736300,3870400,9532478,2419800,1402300,11773300,591200
2018-02-16,160704400,30596900,39948000,20645300,637656000,2172600,4667300,21475200,47332300,39267500,32639000,4910400,11760300,27810900,49404600,4365800,7548600,1175400,1001900,2943100,721039,2557200,89452000,84639000,1969300,5578500,10151300,6814900,14988800,3134600,9740300,1649100,447300,6526000,83124000,3100808,22788900,1413300,7969200,3203800,24075681,4812000,752000,3592600,3559500,13245535,1697000,666200,7499300,427500
2018-02-20,135722000,30911700,33754000,21204900,686240000,2722700,4287800,25512000,47096500,29006900,41693000,4970500,27494600,22000700,36215900,4078400,7229300,844000,1136400,2004500,583698,3292000,129984000,60141000,2202100,3835500,9450900,5158900,8715200,3665600,6875400,2682600,523200,5691000,77690000,4111163,19165200,1524000,5726400,2239200,19380775,3059000,802900,3454700,2750100,13868724,1276800,1605000,8508200,426900
