Date,KLAC,LRCX,SNPS,CDNS,PANW,MRVL,NXPI,IDXX,ALNY,INCY,HOLX,EXAS,BMRN,LULU,ROST,EBAY,ORLY,DLTR,MS,BX,MCO,MSCI,VRSK,EXPD,CSGP,POOL,CCOI,IRDM,SIRI,EVRG,NWE,MSEX,MTDR,RRC,AR
2018-02-16,1812300,43356000,1184500,1913400,8124600,5159300,5097200,427500,653500,2473900,3134816,1232595,779400,1545300,2356300,9396200,10902000,2116800,7448200,3445500,765600,579200,2067700,2954200,1539000,417100,427500,434800,2461550,516800,407000,31800,666200,7499300,4001300
2018-02-20,2034400,32965000,1191600,3138100,7120200,6183700,30986300,426900,396100,1357400,1408042,1634074,828500,1365300,2256800,10947000,11715000,2430700,7709400,5831200,661000,380800,1466200,2975000,1465000,498200,188900,585800,1187790,603300,352100,33400,1605000,8508200,3509000
2018-02-21,1562000,32713000,1474800,2189600,11919000,7041700,11299500,349400,559100,1366600,1849458,2624679,781500,1297300,1755600,10393300,14662500,1532800,8363000,4358000,804100,508400,1855600,2144300,1975000,315200,558300,629700,2061120,422900,537300,39200,1321000,10019700,3388400
2018-02-22,1548700,17529000,3378500,2642000,12172800,6857200,7547100,548600,416900,1315700,2154959,3065361,1399500,1689700,1262100,10575200,8841000,1825700,6111600,4460300,593900,375200,1734000,1361600,3555000,293600,984900,1401900,2471610,785600,233900,28400,1383300,9426600,6044900
2018-02-23,1275800,22273000,1577500,1590600,9845400,4075100,5231000,461500,395400,1460400,1477516,11392679,2130500,1285600,3196400,11158700,9124500,2557700,6687100,3356200,669000,294600,802700,1340500,1647000,174300,472100,630200,1532050,1052200,383900,25700,1358300,6424900,2787300
2018-02-26,1173600,23631000,977000,1717100,26378400,3700700,8208300,480100,564000,1004400,2086898,2638359,847600,827000,2114600,6402500,11319000,2825500,7795800,3850700,739500,414300,1005800,1382100,1983000,200900,195500,1660900,1982060,837400,301500,29100,957800,5273800,2991500
2018-02-27,949700,28223000,1048700,1646100,39367800,7094100,3645500,422100,427300,1012600,1938042,4379024,924600,1409100,3214600,9243800,29581500,2959300,11757700,4415200,742300,465000,951300,1249500,2258000,240600,341100,975500,1866880,777300,293500,41500,965200,7301700,4589900
2018-02-28,1127300,36083000,1253600,2798000,15274200,6577600,2745200,730700,680100,1345000,2740008,2231465,1102200,1944900,3781300,8825200,17635500,3570800,9599100,7737500,1068000,532600,867400,1137600,5020000,242500,370800,1213200,1664360,639400,1406100,79400,1435500,15919600,2934700
2018-03-01,1192400,30036000,1778900,3311600,12812400,4287400,4977000,683500,620200,2434200,2240877,1825426,2769400,1376900,3033100,8040500,14083500,2790800,12093900,7373800,836700,504100,996700,1746500,2302000,191700,352200,681800,3637140,1637000,369600,45400,1001800,12073200,3817500
2018-03-02,962700,27758000,1148800,2337000,10036800,5972100,2903300,540100,464900,1273500,2075722,1383466,1810700,887500,2603800,8070200,14023500,2334400,12154100,6494900,780900,480300,1140600,1358300,2019000,287500,385600,1762000,2237060,470200,359200,45900,872600,8730800,3261300
2018-03-05,878200,32924000,873800,2222600,12559800,6061300,5036900,644000,747200,1883200,1566962,1995267,1128200,1218400,2756800,5506100,11167500,3121900,7598500,2835500,880300,633300,857700,2277700,2098000,229000,281900,1192500,1271550,768700,426500,34800,1712600,10946000,3042800
2018-03-06,1038500,76363000,880900,2507500,14677800,7222900,4066700,648200,681800,1657300,2021746,2502241,1168500,2864700,4420900,5324800,9918000,4489800,9762300,3198000,1095100,524800,1012700,990900,1162000,258000,541100,630400,1561420,910400,281400,32400,1819600,9352600,5564500
2018-03-07,1298200,56256000,779400,1940900,13410600,14781100,3054800,474200,788200,1409900,2034343,3151124,1318200,1724700,8768200,8126500,13206000,22028300,8181000,3435400,773300,553200,636500,1596200,1575000,221100,324700,580300,2025860,923600,306400,129000,2011700,8588900,3866700
2018-03-08,782700,37804000,1587800,3611200,8832600,17008200,1715200,496900,434800,1253400,2026119,2800926,894000,1040200,3795100,9297800,10053000,11477500,7553500,2640200,757100,444000,824300,1658400,1839000,138400,285600,803900,1121430,709800,315000,93100,1221100,5935600,3392800
2018-03-09,1227900,66568000,952300,2714600,8489400,17310000,2533700,631100,923500,1577900,1608470,4054319,1286400,1589700,3419800,7800600,9627000,4464300,10536000,4976400,826000,664100,1175900,1101700,1923000,201100,306200,1221400,1237500,933800,395300,30000,1115300,10375500,4212400
2018-03-12,1042000,49288000,797500,3467400,12311400,17785100,1984100,468200,1336900,1428000,1939157,1658438,1193600,1528200,4057100,9189400,10620000,5355000,8123200,10395100,636600,611400,681000,1224700,2225000,172100,235400,1158800,1300900,875200,661200,54300,950100,5822800,3971200
2018-03-13,1251200,49462000,737700,2283900,8758800,22302700,6211400,443200,1923400,1759800,2362863,2427396,1518100,1632900,2428300,9934900,9699000,4922600,6031100,2805200,551900,587000,617400,991700,2153000,330900,276500,882200,1330100,962300,657000,45400,697800,5290000,2082000
2018-03-14,986600,32919000,620200,2186800,7354800,19368200,6210700,422000,1001300,2648700,1452976,1478483,883800,2110500,2468900,11663300,7552500,3244000,8384300,3262200,689800,901200,508600,1360900,1837000,189900,233200,680100,2229280,753900,545800,32200,600400,8091500,2406200
2018-03-15,1046100,24462000,581200,2570900,5689200,10865800,2211200,445000,662700,1734500,1246237,1303861,1381900,985300,2634000,7598600,6988500,2781700,5648700,7837700,574700,475200,612900,849600,1933000,191800,160200,657100,1232920,818100,879900,51200,1122100,6984600,7356600
2018-03-16,1746000,24958000,1275200,6534000,7535400,6957900,3385900,785300,1512100,1977800,3226866,2028758,1732200,1233400,4289000,14194900,14134500,4172400,9144800,1937600,907600,1428000,979300,1643800,7489000,496700,661000,2821800,2132690,1748300,4143500,249700,1471800,8140300,3852400
2018-03-19,4159700,40981000,913800,3455800,8474400,11467700,1529700,627400,1048200,1686600,2821917,3872264,1966800,1144100,2853800,9410000,11322000,3122800,8117800,4092900,494300,821400,709800,977500,3350000,227900,212200,814000,1584550,724400,405200,129600,1054200,4971500,3528900
2018-03-20,2844600,22238000,621300,2960800,7036800,7531100,1353500,325400,1018600,1487600,2963093,1952809,894900,1137200,2184200,8000800,6996000,2837100,8426700,1996200,463500,504900,580200,688100,3120000,126500,245000,853300,1241140,599800,288200,38800,758200,7241900,2265700
